City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kumul,42.8,93.45,48.97,35,29,4.97,CN,1635451832
Causapscal,48.3542,-67.227,45.95,70,36,4.23,CA,1635451832
Dikson,73.5069,80.5464,8.19,92,100,9.82,RU,1635451833
Navahrudak,53.6,25.8333,47.68,91,58,5.75,BY,1635451833
Gweru,-19.45,29.8167,59,73,4,13.53,ZW,1635451833
Ngunguru,-35.6167,174.5,61.16,85,12,8.46,NZ,1635451834
Sarāhan,31.5167,77.8,45.07,38,0,7.58,IN,1635451834
Champerico,14.3,-91.9167,86.36,75,17,8.57,GT,1635451834
Dangtu,31.5723,118.4928,56.21,75,79,4.9,CN,1635451835
Tsabong,-26.0217,22.401,66.7,81,97,22.12,BW,1635451835
Yulara,-25.2406,130.9889,59.65,29,85,10.02,AU,1635451835
Ponta Delgada,37.7333,-25.6667,66.92,88,75,11.5,PT,1635451836
Acajutla,13.5928,-89.8275,83.59,76,29,6.17,SV,1635451836
Turaif,31.6725,38.6637,67.98,30,95,7.56,SA,1635451836
Najrān,17.4924,44.1277,66.27,24,3,3.18,SA,1635451836
Kudahuvadhoo,2.6708,72.8944,81.37,77,55,9.86,MV,1635451837
Kamaishi,39.2667,141.8833,47.23,75,0,5.1,JP,1635451837
Ust-Kuyga,70.0167,135.6,9.75,97,100,1.59,RU,1635451838
Dingle,10.9995,122.6711,74.84,92,85,6.87,PH,1635451838
Praia,14.9215,-23.5087,75.74,94,75,9.22,CV,1635451838
Pacifica,37.6138,-122.4869,77.74,62,1,12.66,US,1635451839
Bozhou,33.8772,115.7703,57.52,75,6,5.5,CN,1635451839
Tunceli,39.1083,39.5471,50.86,46,100,3.71,TR,1635451576
Cortez,37.3489,-108.5859,61.41,38,1,16.11,US,1635451839
Pirovskoye,57.6267,92.2658,29.82,58,100,7.25,RU,1635451840
Paamiut,61.994,-49.6678,33.53,71,100,19.1,GL,1635451840
Kiama,-34.6833,150.8667,66,74,86,8.93,AU,1635451573
San Juan,-31.5375,-68.5364,98.08,10,69,7.65,AR,1635451841
Boa Vista,2.8197,-60.6733,93.18,43,20,4.61,BR,1635451820
Asău,46.4333,26.4,48.76,74,14,2.66,RO,1635451841
Grafton,42.207,-71.6856,51.62,70,90,1.01,US,1635451841
Korla,41.7597,86.1469,48.18,42,63,2.1,CN,1635451842
Cadillac,44.2519,-85.4012,60.08,38,1,13.8,US,1635451842
Tiksi,71.6872,128.8694,11.35,97,100,4.65,RU,1635451842
Sédhiou,12.7081,-15.5569,73.96,88,62,2.93,SN,1635451843
Kathmandu,27.7167,85.3167,54.9,89,0,0.74,NP,1635451843
Necochea,-38.5473,-58.7368,84.2,48,90,10.69,AR,1635451843
Saint-Joseph,-21.3667,55.6167,71.98,79,1,2.84,RE,1635451844
Weinan,34.5036,109.5089,58.08,73,100,3.42,CN,1635451844
Staryy Nadym,65.6118,72.6842,24.78,96,100,15.64,RU,1635451845
Whitehorse,60.7161,-135.0538,37.02,55,62,8.01,CA,1635451845
Havre-St-Pierre,50.2334,-63.5986,49.44,53,0,2.15,CA,1635451846
Casablanca,33.5928,-7.6192,68.22,77,3,4.25,MA,1635451691
Marystown,47.1666,-55.1483,43.86,100,100,8.01,CA,1635451847
Victor Harbor,-35.5667,138.6167,55.49,96,98,4,AU,1635451847
Roebourne,-20.7833,117.1333,72.32,45,1,10.4,AU,1635451847
Northam,51.0333,-4.2167,59.41,95,100,9.55,GB,1635451848
St. George's,12.0564,-61.7485,81.45,75,87,11.81,GD,1635451848
Mahajanga,-15.7167,46.3167,78.82,61,20,8.05,MG,1635451848
Kupang,-10.1667,123.5833,80.2,82,91,5.08,ID,1635451849
Mayo,38.8876,-76.5119,68.2,71,1,1.99,US,1635451849
Hellín,38.5106,-1.701,58.78,70,78,5.39,ES,1635451736
Roald,62.5833,6.1333,54.34,93,90,5.75,NO,1635451849
Namatanai,-3.6667,152.4333,80.65,78,93,6.33,PG,1635451850
Mount Gambier,-37.8333,140.7667,47.1,88,100,13.49,AU,1635451850
Vila Velha,-20.3297,-40.2925,78.75,69,20,9.22,BR,1635451627
Alta,69.9689,23.2717,33.06,75,0,12.66,NO,1635451850
Mahébourg,-20.4081,57.7,75.25,76,4,9.86,MU,1635451851
Morón,-34.6534,-58.6198,93.94,40,100,12.17,AR,1635451851
Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,100,75,8.95,RU,1635451851
Maragogi,-9.0122,-35.2225,78.37,75,100,9.28,BR,1635451852
Prince Rupert,54.3161,-130.3201,45.01,69,64,2.17,CA,1635451852
Oistins,13.0667,-59.5333,84.29,65,40,11.5,BB,1635451813
Carlton,45.2943,-123.1765,69.91,82,40,10,US,1635451852
Longyearbyen,78.2186,15.6401,15.64,79,0,5.75,SJ,1635451853
Qasigiannguit,68.8193,-51.1922,25.05,86,100,6.13,GL,1635451574
Kīhei,20.785,-156.4656,82.42,75,40,19.57,US,1635451758
Walvis Bay,-22.9575,14.5053,62.1,77,81,12.8,NA,1635451853
Clyde River,70.4692,-68.5914,29.79,94,100,3.44,CA,1635451854
Dakar,14.6937,-17.4441,83.28,75,100,12.95,SN,1635451720
Belmonte,-15.8631,-38.8828,77.5,75,7,11.1,BR,1635451854
Abu Dhabi,24.4667,54.3667,82.6,66,93,14.14,AE,1635451855
Saint Anthony,45.0205,-93.218,49.3,92,90,1.01,US,1635451855
Rypefjord,70.6333,23.6667,36.07,75,75,12.66,NO,1635451855
Sembakung,3.8167,117.25,73.31,99,92,1.7,ID,1635451856
Coyhaique,-45.5752,-72.0662,64.35,36,75,10.36,CL,1635451850
Riyadh,24.6877,46.7219,82.54,16,98,7.7,SA,1635451856
Luwuk,-0.9516,122.7875,77.86,82,50,1.83,ID,1635451856
Lázaro Cárdenas,17.9583,-102.2,84.51,69,4,5.7,MX,1635451759
Torit,4.4133,32.5678,77.58,58,23,1.88,SS,1635451857
Sibolga,1.7427,98.7792,77.22,79,100,3.49,ID,1635451857
Erenhot,43.6475,111.9767,45.18,42,100,10.65,CN,1635451857
Camden,39.7835,-74.9663,66,68,79,1.01,US,1635451858
Gijang,35.2442,129.2139,60.33,58,56,15.97,KR,1635451858
Shawville,45.6001,-76.4827,50.54,58,0,8.3,CA,1635451859
Gunjur,13.2019,-16.7339,79.97,69,99,8.3,GM,1635451859
Kahului,20.8947,-156.47,82.42,75,40,19.57,US,1635451613
Lufilufi,-13.8745,-171.5986,79.79,74,67,21.32,WS,1635451859
Shimoda,34.6667,138.95,52.11,63,0,17,JP,1635451860
Matara,5.9485,80.5353,76.15,92,100,5.32,LK,1635451860
Parkes,-33.1333,148.1833,69.35,50,100,14.9,AU,1635451861
Pulandian,39.3953,121.9669,48.33,67,100,2.71,CN,1635451861
Tazovsky,67.4667,78.7,13.75,91,100,19.55,RU,1635451862
Halifax,44.6453,-63.5724,50.47,72,100,5.99,CA,1635451747
Laje,-10.1833,-40.9667,86.67,29,41,12.28,BR,1635451863
Yanam,16.7333,82.2167,77.05,89,100,7.74,IN,1635451863
Berdigestyakh,62.0989,126.6992,20.19,85,96,9.69,RU,1635451863
Prieska,-29.6641,22.7474,65.19,77,56,9.31,ZA,1635451864
Pemangkat,1.1667,108.9667,77.56,85,100,3.76,ID,1635451864
Tromsø,69.6496,18.957,45.25,87,75,1.99,NO,1635451864
Harper,4.375,-7.7169,78.39,84,94,6.08,LR,1635451865
Ancud,-41.8697,-73.8203,62.13,65,21,9.37,CL,1635451865
Rengo,-34.4167,-70.8667,88.12,20,4,6.49,CL,1635451865
Margate,51.3813,1.3862,59.31,79,57,5.01,GB,1635451866
Bereket,39.2446,55.5154,47.59,61,0,10.09,TM,1635451866
Narsaq,60.9167,-46.05,32.22,69,96,5.5,GL,1635451866
Gorontalo,0.5412,123.0595,75.09,95,44,3.06,ID,1635451867
Ankazoabo,-22.2833,44.5167,62.22,52,9,16.08,MG,1635451867
Iranshahr,27.2025,60.6848,77.02,31,34,4.43,IR,1635451867
Āmol,36.4696,52.3507,52.5,70,2,3.2,IR,1635451868
Khatanga,71.9667,102.5,-4.31,98,100,9.78,RU,1635451868
Leh,34.1667,77.5833,25.9,56,0,1.41,IN,1635451868
Dibulla,11.2725,-73.3091,81.97,79,100,4.16,CO,1635451869
Kangāvar,34.5043,47.9653,53.58,41,23,1.86,IR,1635451869
Cabo San Lucas,22.8909,-109.9124,88.61,57,20,2.3,MX,1635451809
Mariehamn,60.0973,19.9348,51.66,93,90,9.22,AX,1635451869
Nara,34.6851,135.8049,60.08,64,0,0.92,JP,1635451870
Bell Ville,-32.6259,-62.6887,95.67,15,0,13.51,AR,1635451870
Kargasok,59.0556,80.8572,33.28,67,100,16.17,RU,1635451870
Carlyle,38.6103,-89.3726,61.09,94,100,4,US,1635451871
Calvinia,-31.4707,19.776,60.1,75,36,5.48,ZA,1635451871
Lakes Entrance,-37.8811,147.981,74.16,51,0,13.09,AU,1635451872
Poyarkovo,49.6,128.6833,35.58,76,3,6.6,RU,1635451872
Visnes,59.3556,5.2242,54.82,94,75,25.32,NO,1635451872
Rantepao,-2.9701,119.8978,66,97,92,2.37,ID,1635451872
Šamorín,48.0302,17.3097,49.44,77,0,1.99,SK,1635451873
Kandrian,-6.2167,149.55,76.96,89,100,3.71,PG,1635451874
Tuatapere,-46.1333,167.6833,55.33,84,76,4.79,NZ,1635451874
Zharkent,44.1628,80,49.21,50,38,2.46,KZ,1635451874
Krasnosilka,46.6226,30.7742,46.51,62,10,6.67,UA,1635451875
Vanimo,-2.6741,141.3028,77,88,92,4.38,PG,1635451875
Calatayud,41.3535,-1.6432,63.18,55,99,4.59,ES,1635451875
Abnūb,27.2696,31.1511,82.18,19,99,8.28,EG,1635451876
San Cristobal,7.7669,-72.225,80.78,68,36,5.77,VE,1635451876
Edinburgh,55.9521,-3.1965,54.59,97,90,4.61,GB,1635451876
Killybegs,54.6333,-8.45,47.91,79,61,8.3,IE,1635451877
Port Blair,11.6667,92.75,80.83,80,60,9.37,IN,1635451877
Sioux Lookout,50.1001,-91.917,43.93,93,100,4.21,CA,1635451579
Nowe Miasto Lubawskie,53.4208,19.5952,49.03,82,21,7.85,PL,1635451877
Antúnez,19.0167,-102.2,85.96,58,35,1.79,MX,1635451878
Patos,-7.0244,-37.28,92.25,30,43,23.26,BR,1635451878
Ilām,26.9167,87.9167,57.76,80,0,5.79,NP,1635451879
Yueyang,29.3333,113.0919,64.83,63,100,2.13,CN,1635451879
Mossamedes,-15.1961,12.1522,67.03,70,6,7.36,AO,1635451879
Waipawa,-41.4122,175.5153,58.03,86,53,4.81,NZ,1635451880
Khovd,48.0056,91.6419,34.97,54,45,3.87,MN,1635451587
Starosubkhangulovo,53.1031,57.4423,35.8,68,99,9.69,RU,1635451880
Pendleton,45.6721,-118.7886,76.6,44,75,13,US,1635451880
Aguada de Pasajeros,22.385,-80.8508,84.34,70,100,12.37,CU,1635451881
Brae,60.3964,-1.353,49.91,84,100,5.61,GB,1635451881
Penha,-26.7694,-48.6458,71.47,83,90,5.75,BR,1635451881
Maraã,-1.8333,-65.3667,84.88,62,96,1.81,BR,1635451882
Dāmghān,36.1683,54.348,46.76,44,0,1.25,IR,1635451882
Lukiv,51.0521,25.4006,46.18,90,19,2.71,UA,1635451883
Coahuayana Viejo,18.7333,-103.6833,89.08,58,12,6.31,MX,1635451883
Villarrica,-25.75,-56.4333,89.89,42,0,2.04,PY,1635451884
Øksfjord,70.2396,22.3479,36.52,95,100,9.15,NO,1635451884
Hokitika,-42.7167,170.9667,55.11,89,100,3.69,NZ,1635451884
Galveston,29.3669,-94.9669,79,27,1,5.99,US,1635451826
Ciudad Bolivar,8.1222,-63.5497,84.92,65,94,4.07,VE,1635451885
Ruidoso,33.3317,-105.673,66.9,21,1,11.5,US,1635451885
Dunedin,-45.8742,170.5036,58.8,91,96,8.99,NZ,1635451885
Fare,-16.7,-151.0167,78.93,80,33,9.4,PF,1635451886
Zhigansk,66.7697,123.3711,17.35,92,100,13.29,RU,1635451886
Bremerton,47.5673,-122.6326,65.3,87,90,3,US,1635451886
Teya,60.3778,92.6267,25.11,88,100,7.61,RU,1635451887
Iqaluit,63.7506,-68.5145,36.7,60,99,8.01,CA,1635451887
Salalah,17.0151,54.0924,80.69,74,40,4.61,OM,1635451887
Fort Saint James,54.4333,-124.25,40.95,59,100,2.04,CA,1635451888
Atasū,48.6814,71.6433,34.7,36,10,5.46,KZ,1635451888
Tarko-Sale,64.9225,77.785,25.38,95,100,21.54,RU,1635451888
La Verne,34.1008,-117.7678,92.19,23,1,6.91,US,1635451889
Chu,43.5983,73.7614,48.24,59,86,7.49,KZ,1635451889
Yinchuan,38.4681,106.2731,50.18,33,5,8.19,CN,1635451889
Bathsheba,13.2167,-59.5167,84.81,65,40,11.5,BB,1635451890
Hervey Bay,-25.2986,152.8535,77.04,81,9,18.32,AU,1635451890
Kruisfontein,-34.0033,24.7314,67.89,84,100,10.25,ZA,1635451890
Nador,35.174,-2.9287,62.85,82,0,2.3,MA,1635451891
Pembroke,45.8168,-77.1162,56.17,47,0,7.43,CA,1635451891
Philadelphia,39.9523,-75.1638,66,63,1,1.99,US,1635451624
Opuwo,-18.0607,13.84,74.93,32,74,6.87,NA,1635451892
Luba,3.4568,8.5547,79.12,87,27,5.46,GQ,1635451892
Sosnovo-Ozerskoye,52.5249,111.5418,30.6,52,100,10.54,RU,1635451892
Acapulco de Juárez,16.8634,-99.8901,87.62,70,75,3.44,MX,1635451893
Kibala,9.1104,18.3463,80.91,62,70,0.83,TD,1635451893
Puerto del Rosario,28.5004,-13.8627,71.35,73,75,12.66,ES,1635451893
Udaipur,24.5712,73.6918,66.49,38,0,3.13,IN,1635451894
Mushie,-3.0167,16.9,73.47,90,83,1.97,CD,1635451894
Tomatlán,19.9333,-105.25,86.85,63,56,7.38,MX,1635451894
Nioki,-2.7167,17.6833,73.89,86,100,1.77,CD,1635451895
Chokurdakh,70.6333,147.9167,-9.83,96,92,3.98,RU,1635451895
Mahibadhoo,3.7833,72.9667,82.04,74,24,8.95,MV,1635451895
Ranong,9.9658,98.6348,77.59,92,100,5.14,TH,1635451896
Maniitsoq,65.4167,-52.9,32.59,42,100,4.61,GL,1635451896
Ixtahuacán,15.4167,-91.7667,77.88,72,13,6.11,GT,1635451896
Khasan,42.4308,130.6434,44.42,59,0,5.5,RU,1635451897
Spilimbergo,46.1125,12.8969,52.38,71,28,5.06,IT,1635451897
Karligan,14.975,122.0456,82.45,71,89,18.61,PH,1635451897
Graaff-Reinet,-32.2522,24.5308,59.92,85,100,3.98,ZA,1635451898
Hasaki,35.7333,140.8333,54,53,86,29.84,JP,1635451898
Amatitán,20.8333,-103.7167,84.33,29,87,3.29,MX,1635451898
Montgomery,39.1501,-77.1997,66.67,72,90,4,US,1635451899
Cartagena,10.3997,-75.5144,83.77,75,100,8.16,CO,1635451881
Bolkhov,53.4433,36.0044,44.85,83,71,5.77,RU,1635451899
Votkinsk,57.0486,53.9872,34.77,96,100,11.39,RU,1635451899
Port Hawkesbury,45.6169,-61.3485,48.18,80,100,10,CA,1635451900
Pyshma,56.9523,63.2513,37.56,96,100,13.13,RU,1635451900
Basco,20.4487,121.9702,78.76,70,100,20.36,PH,1635451901
Fort Nelson,58.8053,-122.7002,40.89,44,100,4.79,CA,1635451901
Mount Isa,-20.7333,139.5,71.37,100,40,8.05,AU,1635451901
Nelson Bay,-32.7167,152.15,68.68,85,100,4.5,AU,1635451603
Chanika,-5.4167,38.0167,68.68,94,98,5.39,TZ,1635451902
Macon,39.8667,-88.9668,52.11,100,90,12.66,US,1635451902
Medowie,-32.7333,151.8667,68.7,84,0,0,AU,1635451902
Yekimovichi,54.1129,33.2965,42.08,93,80,3.71,RU,1635451903
Rochegda,62.8,43.25,22.98,93,97,1.14,RU,1635451903
Strezhevoy,60.7333,77.5889,30.18,97,100,13.98,RU,1635451903
Grand Gaube,-20.0064,57.6608,75.38,72,15,7,MU,1635451904
Sant Feliu de Guíxols,41.7833,3.0333,61.9,90,1,2.08,ES,1635451904
Tabou,4.423,-7.3528,78.55,84,83,5.5,CI,1635451904
Visakhapatnam,17.69,83.2093,77.94,77,72,8.81,IN,1635451905
Torquay,50.4638,-3.5143,59.27,45,100,11.01,GB,1635451905
Baruun-Urt,46.6806,113.2792,38.14,50,100,6.44,MN,1635451906
Hay River,60.8156,-115.7999,37.36,87,75,6.91,CA,1635451906
Port Hedland,-20.3167,118.5667,73.45,78,5,10.36,AU,1635451906
Galesong,-5.3166,119.3661,73.42,76,98,4.54,ID,1635451687
Waingapu,-9.6567,120.2641,80.01,79,51,4,ID,1635451907
Malabo,3.75,8.7833,79.32,85,10,5.95,GQ,1635451907
Xai-Xai,-25.0519,33.6442,66.51,67,15,7.7,MZ,1635451907
Pirgos,35.1167,25.7178,65.88,68,57,9.37,GR,1635451908
Makkah al Mukarramah,21.4267,39.8261,81.75,51,39,4.21,SA,1635451908
Gumdag,39.2061,54.5906,48.81,56,0,13.2,TM,1635451818
Constitución,-35.3333,-72.4167,66.51,58,10,16.13,CL,1635451909
Madimba,-10.4,40.3333,76.87,81,6,11.01,TZ,1635451909
Óbidos,-1.9175,-55.5181,90.95,45,31,5.3,BR,1635451909
Giyani,-23.3025,30.7187,66.27,67,6,4.47,ZA,1635451910
Sisimiut,66.9395,-53.6735,26.64,94,100,13.02,GL,1635451910
Hope,33.6671,-93.5916,60.85,67,100,18.72,US,1635451749
Mahon,39.8885,4.2658,63.16,82,20,3.44,ES,1635451910
Ngama,11.7833,17.1667,88.75,28,9,1.81,TD,1635451911
Grand Forks,47.9417,-97.4337,49.93,78,90,12.66,US,1635451911
Talnakh,69.4865,88.3972,-5.26,96,100,9.31,RU,1635451911
Tanete,-3.9443,119.7848,74.73,95,96,2.89,ID,1635451912
Sovetskiy,61.3614,63.5842,25.11,67,97,15.12,RU,1635451912
Plátanos,37.6667,21.6167,63.09,69,0,7.65,GR,1635451912
Nkayi,-4.1841,13.2884,77.99,78,3,0.69,CG,1635451913
Ilfracombe,51.2093,-4.1134,58.59,95,100,7,GB,1635451913
Hamilton,39.1834,-84.5333,56.25,95,90,6.91,US,1635451535
Adrar,20.5022,-10.0711,79.23,38,100,10.89,MR,1635451913
Ganzhou,28.8184,115.4327,60.91,72,63,3.31,CN,1635451914
Norrtälje,59.758,18.705,55.49,79,100,13.27,SE,1635451914
Sittwe,20.15,92.9,77.95,82,20,4.76,MM,1635451914
Inuvik,68.3499,-133.7218,27.36,93,75,2.3,CA,1635451915
Dawson Creek,55.7666,-120.2362,45.36,40,22,17.02,CA,1635451915
Pak Phanang,8.3511,100.202,83.07,79,100,2.8,TH,1635451915
High Level,58.5169,-117.136,43.63,42,70,7.38,CA,1635451916
Campoverde,-8.4753,-74.8058,85.69,49,100,2.59,PE,1635451916
Nerópolis,-16.4064,-49.2186,90.48,41,100,5.75,BR,1635451916
Te Anau,-45.4167,167.7167,52.34,79,13,0.36,NZ,1635451917
Vaitape,-16.5167,-151.75,78.76,79,55,7.61,PF,1635451917
Sassandra,4.95,-6.0833,78.13,85,65,4.85,CI,1635451917
Antofagasta,-23.65,-70.4,63.68,65,30,8.08,CL,1635451918
Marquette,46.5333,-87.6335,54.84,88,100,6.91,US,1635451714
Cho Dok,10.7,105.1167,76.46,92,61,4,VN,1635451918
Lata,40.1629,-8.3327,64.92,73,100,6.96,PT,1635451919
La Ronge,55.1001,-105.2842,46.47,54,9,12.37,CA,1635451919
Baoying,33.2292,119.3092,54.72,71,61,3.04,CN,1635451919
Kalmunai,7.4167,81.8167,78.46,84,93,6.67,LK,1635451919
Águas Vermelhas,-15.7472,-41.46,74.41,66,83,6.8,BR,1635451920
Bushehr,28.9684,50.8385,80.87,64,14,7,IR,1635451920
Chifeng,42.2683,118.9636,46.44,46,96,5.26,CN,1635451920
Ishigaki,24.3448,124.1572,74.61,67,100,18.88,JP,1635451921
Soyo,-6.1349,12.3689,77.16,79,3,9.8,AO,1635451922
Independência,-5.3964,-40.3086,96.03,20,13,5.1,BR,1635451922
Noumea,-22.2763,166.4572,75,99,0,8.55,NC,1635451811
Paita,-5.0892,-81.1144,73.96,72,31,17.31,PE,1635451923
Eunice,30.4944,-92.4176,73.6,46,79,17.81,US,1635451923
Jiujiang,29.7333,115.9833,62.2,73,61,5.77,CN,1635451924
Rome,43.2128,-75.4557,61.12,57,1,4.61,US,1635451804
Tavda,58.0425,65.2726,36.19,91,100,11.54,RU,1635451924
Casa Nova,-9.4167,-41.1333,91.38,40,28,15.32,BR,1635451924
Tuapse,44.1125,39.0742,50.97,72,100,3.36,RU,1635451925
Pampierstad,-27.7832,24.6877,67.23,67,100,14.45,ZA,1635451925
